时间,开盘价,最高价,最低价,收盘价,成交量
1736113500000,98429.66,98522.46,98429.65,98496.52,59.46421
1736114400000,98496.52,98512.29,98344,98377.52,60.36195
1736115300000,98377.53,98556.3,98377.52,98550.18,54.40213
1736116200000,98550.17,98745.45,98537.35,98660.01,191.33023
1736117100000,98660.01,98738.6,98516.27,98695.21,101.75844
1736118000000,98695.21,98836.85,98523.83,98555.84,247.62938
1736118900000,98555.84,98592,98366.12,98475.09,96.7045
1736119800000,98475.09,98504,98410.59,98424.24,57.10982
1736120700000,98424.24,98479.85,98322.72,98363.61,68.23719
1736121600000,98363.61,98626.77,98363.61,98455.89,159.94725
